n,m,alg,k,time_ms,ok,instance
100,196,greedy+ls,21,148.95,true,data/ba_100_m2.txt
100,196,exact-bnb,21,10000.64,true,data/ba_100_m2.txt
150,296,greedy+ls,32,277.43,true,data/ba_150_m2.txt
150,296,exact-bnb,34,10000.01,true,data/ba_150_m2.txt
200,396,greedy+ls,39,711.00,true,data/ba_200_m2.txt
200,396,exact-bnb,39,10000.11,true,data/ba_200_m2.txt
300,596,greedy+ls,61,3567.22,true,data/ba_300_m2.txt
300,596,exact-bnb,61,10000.01,true,data/ba_300_m2.txt
400,796,greedy+ls,79,15900.32,true,data/ba_400_m2.txt
400,796,exact-bnb,79,10000.02,true,data/ba_400_m2.txt
500,996,greedy+ls,95,18097.17,true,data/ba_500_m2.txt
500,996,exact-bnb,95,10000.04,true,data/ba_500_m2.txt
50,96,greedy+ls,12,33.72,true,data/ba_50_m2.txt
50,96,exact-bnb,12,10000.02,true,data/ba_50_m2.txt
100,232,greedy+ls,23,107.20,true,data/er_100_0050.txt
100,232,exact-bnb,24,10000.01,true,data/er_100_0050.txt
150,540,greedy+ls,27,281.94,true,data/er_150_0050.txt
150,540,exact-bnb,27,10000.01,true,data/er_150_0050.txt
200,960,greedy+ls,27,276.82,true,data/er_200_0050.txt
200,960,exact-bnb,28,10000.01,true,data/er_200_0050.txt
300,1758,greedy+ls,38,1444.79,true,data/er_300_0040.txt
300,1758,exact-bnb,38,10000.02,true,data/er_300_0040.txt
300,2187,greedy+ls,32,857.89,true,data/er_300_0050.txt
300,2187,exact-bnb,32,10000.01,true,data/er_300_0050.txt
400,3205,greedy+ls,40,8008.98,true,data/er_400_0040.txt
400,3205,exact-bnb,40,10000.01,true,data/er_400_0040.txt
500,4997,greedy+ls,41,23793.35,true,data/er_500_0040.txt
500,4997,exact-bnb,41,10000.02,true,data/er_500_0040.txt
50,49,greedy+ls,22,61.10,true,data/er_50_0050.txt
50,49,exact-bnb,23,10000.01,true,data/er_50_0050.txt
50,93,greedy+ls,16,0.90,true,data/er_50_01.txt
50,93,exact-bnb,16,10000.01,true,data/er_50_01.txt
